tconst	Budget	Box_Office	Star_1	Star_2	Star_3	Star_num1	Star_num2	Star_num3
tt0171359	2000000	2046433	Ethan Hawke	Kyle MacLachlan	Diane Venora	nm0000160	nm0001492	nm0893204
tt0171433	29000000	59945183	Ben Stiller	Edward Norton	Jenna Elfman	nm0001774	nm0001570	nm0001184
tt0171580	35000000	29364989	Renée Zellweger	Morgan Freeman	Chris Rock	nm0000250	nm0000151	nm0001674
tt0172156	130000000	273339556	Will Smith	Martin Lawrence	Gabrielle Union	nm0000226	nm0001454	nm0005517
tt0172495	103000000	460583960	Russell Crowe	Joaquin Phoenix	Connie Nielsen	nm0000128	nm0001618	nm0001567
tt0172543	2430675	307159	Noah Taylor	Emily Hamilton	Romane Bohringer	nm0852965	nm0357838	nm0001960
tt0173716	10000000	1961544	Melanie Griffith	Stephen Dorff	Alicia Witt	nm0000429	nm0001151	nm0001860
tt0173840	137000000	85131830	Alec Baldwin	Steve Buscemi	Ming-Na Wen	nm0000285	nm0000114	nm0001840
tt0174336	3000000	4775009	Amanda Peet	Brian Van Holt	Jonathan Abrahams	nm0001605	nm0887144	nm0009017
tt0174480	65000000	90726668	Richard Gere	Winona Ryder	Anthony LaPaglia	nm0000152	nm0000213	nm0001439
tt0175142	19000000	278019771	Anna Faris	Jon Abrahams	Marlon Wayans	nm0267506	nm0009016	nm0005541
tt0176783	24000000	12591270	James Marsden	Lena Headey	Norman Reedus	nm0005188	nm0372176	nm0005342
tt0177650	16000000	146193	Douglas McGrath	Sigourney Weaver	Paul Guilfoyle	nm0569790	nm0000244	nm0002117
tt0177971	140000000	328718434	George Clooney	Mark Wahlberg	John C. Reilly	nm0000123	nm0000242	nm0000604
tt0179098	21000000	10011050	Jake Gyllenhaal	Dustin Hoffman	Susan Sarandon	nm0350453	nm0000163	nm0000215
tt0179473	4000000	28149	Billy Bob Thornton	Luke Askew	Dwight Yoakam	nm0000671	nm0039435	nm0948267
tt0179626	60000000	56359980	Robert De Niro	Edward Burns	Kelsey Grammer	nm0000134	nm0122653	nm0001288
tt0180052	100000000	7103973	Eddie Murphy	Jay Mohr	Randy Quaid	nm0000552	nm0001542	nm0001642
tt0180073	13500000	17989227	Geoffrey Rush	Kate Winslet	Joaquin Phoenix	nm0001691	nm0000701	nm0001618
tt0180093	4500000	7390108	Ellen Burstyn	Jared Leto	Jennifer Connelly	nm0000995	nm0001467	nm0000124
tt0180679	1000000	2276602	Jeff Daniels	Harve Presnell	Joey Albright	nm0001099	nm0696193	nm0017020
tt0180734	32000000	44102389	Keanu Reeves	Diane Lane	John Hawkes	nm0000206	nm0000178	nm0370035
